Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Mitogen-activated protein kinase 1	Mapk1	1,69E-15	2,131502868
Rapamycin-insensitive companion of mTOR	Rictor	2,02E-14	2,109607786
Enoyl-CoA delta isomerase 1, mitochondrial	Eci1	4,22E-10	1,990509497
14-3-3 protein zeta/delta	Ywhaz	1,25E-20	1,961282892
Proteasome subunit alpha type-6	Psma6	8,89E-13	1,93820998
ATP-dependent RNA helicase DDX24	Ddx24	5,06E-20	1,933407892
40S ribosomal protein S12	Rps12	2,38E-48	1,755405162
Nucleosome assembly protein 1-like 4	Nap1l4	3,18E-32	1,722991261
UPF0609 protein C4orf27 homolog		3,69E-12	1,671485192
NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	Ndufs2	3,27E-11	1,469529675
Alpha-actinin-1	Actn1	1,32E-14	1,443830575
Chromobox protein homolog 3	Cbx3	8,36E-28	1,433389394
"Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase"	Umps	4,26E-14	1,412270181
Malate dehydrogenase, mitochondrial	Mdh2	5,78E-14	1,355903766
Tripeptidyl-peptidase 2	Tpp2	1,12E-12	1,3373752
Aspartate aminotransferase, mitochondrial	Got2	5,68E-24	1,303934944
Protein transport protein Sec23B	Sec23b	4,30E-12	1,277324144
Protein transport protein Sec23A	Sec23a	1,25E-11	1,262642046
Phosphoribosylformylglycinamidine synthase	Pfas	2,14E-14	1,247833741
Annexin A2	Anxa2	9,84E-19	1,173351862
Filamin-B	Flnb	7,24E-10	1,151714583
Presequence protease, mitochondrial	Pitrm1	2,89E-13	1,120043352
"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS"	Wars	3,77E-17	1,089482224
BolA-like protein 1	Bola1	5,48E-17	1,071633467
Carbonyl reductase [NADPH] 3	Cbr3	1,60E-11	0,999134643
ATP-dependent RNA helicase DDX18	Ddx18	4,63E-09	0,967588782
BolA-like protein 2	Bola2	1,59E-15	0,960945854
Adenylosuccinate lyase	Adsl	3,67E-16	0,763831929
"Branched-chain-amino-acid aminotransferase, cytosolic;Branched-chain-amino-acid aminotransferase"	Bcat1	8,07E-15	0,7390831
Thioredoxin domain-containing protein 12	Txndc12	7,06E-31	0,616945499
Cystatin-B	Cstb	7,57E-20	0,60064294
H/ACA ribonucleoprotein complex subunit 4	Dkc1	9,46E-09	#VALUE!
39S ribosomal protein L41, mitochondrial	"Mrpl41;Gm6434"	8,30E-15	#VALUE!
28S ribosomal protein S6, mitochondrial	Mrps6	1,00E-07	#VALUE!
Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	1,36E-10	#VALUE!
U2 small nuclear ribonucleoprotein B	Snrpb2	9,02E-11	#VALUE!
40S ribosomal protein S15	Rps15	3,62E-21	6,42960702
3-5 exoribonuclease 1	Eri1	2,41E-11	6,16991346
Zinc finger protein 593	Znf593	8,74E-16	6,090692319
Serine/arginine-rich splicing factor 9	Srsf9	4,38E-14	6,002125212
60S ribosomal protein L27	Rpl27	6,36E-17	5,895480834
28S ribosomal protein S7, mitochondrial	Mrps7	1,83E-19	5,798506652
Protein FRG1	Frg1	2,92E-18	5,750649325
Mitochondrial inner membrane protein OXA1L	Oxa1l	2,04E-11	5,745299542
MORC family CW-type zinc finger protein 2A	Morc2a	1,48E-07	5,660105541
Small nuclear ribonucleoprotein Sm D3	Snrpd3	1,74E-15	5,560540687
RNA-binding protein 27	Rbm27	4,84E-08	5,528356777
39S ribosomal protein L46, mitochondrial	Mrpl46	2,04E-13	5,444859224
Interferon-related developmental regulator 1	Ifrd1	4,82E-10	5,440905686
Mitochondrial import inner membrane translocase subunit TIM16	Pam16	5,94E-10	5,415437662
"Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form"	Ighg1	3,09E-39	5,390532471
28S ribosomal protein S30, mitochondrial	Mrps30	5,36E-15	5,216035506
Carbonyl reductase family member 4	Cbr4	1,24E-11	5,191524333
Long-chain-fatty-acid--CoA ligase 3	Acsl3	2,35E-10	5,06120385
Poly(A) RNA polymerase GLD2	Papd4	1,64E-20	4,98827538
DNA-directed RNA polymerases I and III subunit RPAC1	Polr1c	3,52E-09	4,900384307
"Histone H2A type 1-H;Histone H2A.J;Histone H2A;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1;Histone H2A type 2-C;Histone H2A type 2-A"	"Hist1h2ah;H2afj;Hist1h2aa;Hist1h2ak;Hist1h2af;Hist3h2a;Hist1h2ab;Hist1h2al;Hist2h2ac;Hist2h2aa1"	2,62E-18	4,873492263
	Btaf1	1,39E-07	4,831399038
KH domain-containing, RNA-binding, signal transduction-associated protein 1	Khdrbs1	4,31E-23	4,803090852
Nucleolar protein 56	Nop56	1,51E-21	4,782774248
Probable ATP-dependent RNA helicase DDX49	Ddx49	1,05E-12	4,747429325
RNA-binding protein EWS	Ewsr1	9,37E-63	4,735965672
Calcium-binding mitochondrial carrier protein Aralar2	Slc25a13	8,73E-14	4,732586454
Tumor suppressor candidate 3	Tusc3	7,36E-09	4,714898485
BAG family molecular chaperone regulator 2	Bag2	6,78E-10	4,700009859
Parafibromin	Cdc73	3,77E-09	4,695180593
TRMT1-like protein	Trmt1l	6,35E-48	4,684827971
60S ribosomal protein L38	Rpl38	3,91E-25	4,681973607
Homeobox protein Rhox5	Rhox5	1,87E-34	4,654099536
Mitochondrial import receptor subunit TOM70	Tomm70a	8,73E-10	4,637199108
Fibronectin type III domain-containing protein 3B	Fndc3b	1,68E-22	4,631502059
Retrotransposon-derived protein PEG10	Peg10	1,11E-14	4,604261541
Exosome component 10	Exosc10	6,07E-14	4,586232631
Condensin-2 complex subunit H2	"Ncaph2;Gm7535"	7,65E-77	4,578008186
Proline-, glutamic acid- and leucine-rich protein 1	Pelp1	2,00E-10	4,569624796
Neuron navigator 1	Nav1	5,56E-08	4,550093212
Cyclin-dependent kinase 11B	Cdk11b	1,17E-08	4,487977457
SWI/SNF complex subunit SMARCC2	Smarcc2	2,48E-17	4,47730141
Chromosome alignment-maintaining phosphoprotein 1	Champ1	4,53E-07	4,45264099
40S ribosomal protein S20	Rps20	1,58E-43	4,427991251
GTPase Era, mitochondrial	Eral1	2,31E-09	4,398117157
Heterogeneous nuclear ribonucleoproteins C1/C2	Hnrnpc	2,25E-18	4,370847645
"Spliceosome RNA helicase Ddx39b;ATP-dependent RNA helicase DDX39A"	"Ddx39b;Ddx39a"	1,16E-12	4,237537219
Probable RNA-binding protein 19	Rbm19	6,41E-25	4,210763206
Glutamate receptor-interacting protein 1	Grip1	1,03E-10	4,208120931
DNA topoisomerase 2-binding protein 1	Topbp1	7,20E-12	4,189338092
DNA-3-methyladenine glycosylase	Mpg	8,69E-09	4,153773886
Nucleolar transcription factor 1	Ubtf	8,32E-10	4,036608741
DNA helicase MCM8	Mcm8	1,31E-14	4,034999646
Protein Red	Ik	1,06E-09	4,028063259
	Dhx37	4,89E-08	4,011587974
Cell growth-regulating nucleolar protein	Lyar	3,28E-19	3,979487131
Erlin-2	Erlin2	3,93E-50	3,954959698
Monocarboxylate transporter 1	Slc16a1	6,36E-18	3,917068559
Band 4.1-like protein 5	Epb41l5	8,68E-40	3,913716237
Zinc finger protein ZFPM1	Zfpm1	1,02E-23	3,911521859
RNA demethylase ALKBH5	Alkbh5	1,99E-10	3,898769482
Aurora kinase A	Aurka	6,61E-09	3,88841309
	Gltscr2	7,23E-12	3,875290726
Histone lysine demethylase PHF8	Phf8	1,15E-11	3,863189136
Protein flightless-1 homolog	Flii	3,26E-11	3,847009287
Squamous cell carcinoma antigen recognized by T-cells 3	Sart3	2,33E-17	3,829695459
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3	Ogfod3	7,33E-10	3,828260268
RNA-binding protein 14	Rbm14	8,02E-09	3,750746424
Vesicle-associated membrane protein-associated protein A	Vapa	5,70E-12	3,637163207
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	Ndufa4	5,03E-09	3,588070526
La-related protein 7	"Larp7;Gm12666"	2,56E-11	3,566647378
PDZ and LIM domain protein 7	Pdlim7	5,66E-11	3,541382816
Active regulator of SIRT1	Rps19bp1	3,01E-23	3,519842438
Cyclin-dependent kinase 9	Cdk9	9,98E-09	3,50677898
D-beta-hydroxybutyrate dehydrogenase, mitochondrial	Bdh1	6,34E-12	3,389987909
DBIRD complex subunit KIAA1967 homolog		2,72E-12	3,386498521
Protein MCM10 homolog	Mcm10	2,65E-17	3,344508947
Casein kinase I isoform alpha	Csnk1a1	1,43E-07	3,334112468
Protein LSM14 homolog B	Lsm14b	5,95E-31	3,321783833
Cell differentiation protein RCD1 homolog	Rqcd1	4,94E-09	3,156241218
Tripartite motif-containing protein 3	Trim3	3,72E-12	3,134160348
Splicing factor 3A subunit 3	Sf3a3	7,38E-08	3,123936929
Pleiotropic regulator 1	Plrg1	1,38E-18	3,062263911
"Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2"	"Rps27a;Uba52;Kxd1;Ubc;Ubb;Gm7808"	3,87E-35	3,030206674
DnaJ homolog subfamily B member 1	Dnajb1	8,34E-09	3,004739817
Heterogeneous nuclear ribonucleoprotein U-like protein 2	Hnrnpul2	1,37E-09	2,982334594
DDB1- and CUL4-associated factor 5	Dcaf5	8,21E-12	2,940423212
Saccharopine dehydrogenase-like oxidoreductase	Sccpdh	1,40E-11	2,933793676
Enhancer of mRNA-decapping protein 3	Edc3	5,59E-09	2,923796663
Superkiller viralicidic activity 2-like 2	Skiv2l2	1,93E-15	2,890037747
Neurofilament heavy polypeptide	Nefh	1,33E-99	2,863126153
Cancer-related nucleoside-triphosphatase homolog	Ntpcr	1,26E-11	2,821126042
DNA mismatch repair protein Msh6	Msh6	2,84E-09	2,798868033
RNA-binding protein PNO1	Pno1	5,80E-12	2,655716877
Cullin-associated NEDD8-dissociated protein 2	Cand2	5,09E-14	2,646563782
Protein SOGA2	Soga2	2,66E-07	2,628697639
26S protease regulatory subunit 6B	Psmc4	1,03E-13	2,616967624
Serine protease HTRA2, mitochondrial	Htra2	1,39E-10	2,593789891
26S protease regulatory subunit 8	Psmc5	6,92E-13	2,512019803
Transcription elongation factor B polypeptide 2	Tceb2	1,03E-18	2,503077534
Protein SMG7	Smg7	2,89E-09	2,429109667
DNA-directed RNA polymerase II subunit RPB3	Polr2c	1,34E-16	2,38059638
Exosome complex component RRP46	Exosc5	1,85E-17	2,373626283
NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	Ndufs1	2,60E-20	2,368625601
"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed"	Ywhag	1,36E-08	2,333443355
Proteasome subunit beta type-5	Psmb5	4,39E-10	2,301443673
Transitional endoplasmic reticulum ATPase	Vcp	1,57E-09	2,259460951
"Pyruvate carboxylase, mitochondrial;Pyruvate carboxylase"	"Pc;Pcx"	6,69E-12	2,249410645
Transcription elongation factor B polypeptide 1	Tceb1	6,24E-16	2,249136277
Lysine-specific demethylase 3A	Kdm3a	7,09E-08	2,166761756
"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, nuclear"	Gpx4	4,60E-12	2,15752796
"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase"	Mthfd2	6,69E-09	2,07345398
Terminal uridylyltransferase 4	Zcchc11	7,55E-11	2,04507415
Heat shock protein beta-8	Hspb8	4,04E-09	1,947862377
Long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadl	3,70E-08	1,850948793
Melanoma inhibitory activity protein 3	Mia3	3,45E-10	1,846531873
Actin-related protein 2/3 complex subunit 4	Arpc4	4,31E-12	1,828383229
Growth factor receptor-bound protein 2	Grb2	9,12E-09	1,797011896
Cysteine and glycine-rich protein 2	Csrp2	3,34E-15	1,762974793
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	Ndufv2	1,71E-09	1,753604075
Tropomyosin alpha-3 chain	Tpm3	3,04E-11	1,726376695
	"Tpm3-rs7;Tpm3"	3,72E-11	1,702421177
Decaprenyl-diphosphate synthase subunit 2	Pdss2	2,18E-08	1,69399447
2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	Gcat	8,90E-23	1,650227111
Acetyl-CoA acetyltransferase, mitochondrial	Acat1	3,23E-13	1,55864401
"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas"	Gnas	1,07E-08	1,553299118
Ribonucleoside-diphosphate reductase large subunit	Rrm1	8,25E-11	1,488633171
"Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 5"	Ppp5c	2,23E-11	1,424494032
Cysteine and glycine-rich protein 1	Csrp1	9,08E-15	1,41188625
Cytoplasmic tRNA 2-thiolation protein 2	Ctu2	5,55E-12	1,411272174
Phosphomevalonate kinase	Pmvk	2,70E-10	1,374561167
Cullin-5	Cul5	7,36E-08	1,334898344
AMP deaminase 2	Ampd2	2,93E-10	1,322902243
TBC1 domain family member 15	Tbc1d15	3,27E-13	1,317390748
"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11"	Uqcrfs1	2,50E-09	1,188956498
NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	Nfu1	2,01E-17	1,183506784
AP-2 complex subunit mu	Ap2m1	1,07E-08	1,152580287
Protein disulfide-isomerase A4	Pdia4	4,83E-10	1,139553607
Thioredoxin-dependent peroxide reductase, mitochondrial	Prdx3	1,07E-18	1,121517907
Glutaredoxin-related protein 5, mitochondrial	Glrx5	7,66E-11	1,115628708
Destrin	Dstn	2,87E-18	1,112100457
Glutamate--cysteine ligase regulatory subunit	Gclm	1,29E-44	1,100514977
dCTP pyrophosphatase 1	Dctpp1	3,08E-12	1,096190441
Proteasome activator complex subunit 1	Psme1	2,17E-15	1,052087026
Ganglioside-induced differentiation-associated protein 1-like 1	Gdap1l1	1,92E-21	1,050861045
Activator of 90 kDa heat shock protein ATPase homolog 1	Ahsa1	4,79E-14	1,025617534
Cellular nucleic acid-binding protein	Cnbp	3,42E-12	1,022302442
ER membrane protein complex subunit 8	Emc8	2,04E-22	1,004681921
Src substrate cortactin	Cttn	5,82E-08	0,992833209
YrdC domain-containing protein, mitochondrial	Yrdc	4,56E-12	0,981793143
Iron-sulfur cluster assembly 2 homolog, mitochondrial	Isca2	2,74E-09	0,966094272
Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	Sdhb	1,95E-10	0,949811777
"Glutathione S-transferase P 1;Glutathione S-transferase P 2"	"Gstp1;Gstp2"	5,49E-28	0,836913525
Hydroxymethylglutaryl-CoA lyase, mitochondrial	Hmgcl	4,81E-12	0,687241902
Actin-related protein 2/3 complex subunit 3	Arpc3	4,79E-16	0,654785321
Elongator complex protein 3	Elp3	1,67E-12	-5,650391202
Peptidyl-prolyl cis-trans isomerase FKBP11	Fkbp11	8,38E-07	#VALUE!
Threonine--tRNA ligase, mitochondrial	Tars2	3,57E-07	#VALUE!
Small nuclear ribonucleoprotein Sm D1	Snrpd1	2,38E-07	#VALUE!
Ribosomal protein S6 kinase alpha-4	Rps6ka4	2,35E-07	#VALUE!
Transcription elongation factor, mitochondrial	Tefm	6,24E-08	#VALUE!
	Akap11	3,58E-07	#VALUE!
"Histone H2A.V;Histone H2A.Z;Histone H2A;Histone H2A.x"	"H2afv;H2afz;H2afx"	2,46E-08	#VALUE!
Pre-mRNA branch site protein p14	Sf3b14	3,06E-08	#VALUE!
39S ribosomal protein L14, mitochondrial	Mrpl14	7,28E-06	#VALUE!
Cold-inducible RNA-binding protein	Cirbp	5,54E-12	#VALUE!
S-phase kinase-associated protein 1	Skp1	5,46E-18	#VALUE!
"ADP-ribosylation factor 1;ADP-ribosylation factor 3;ADP-ribosylation factor 5;ADP-ribosylation factor 2"	"Arf1;Arf3;Arf5;Arf2"	3,47E-13	#VALUE!
Cofilin-2	Cfl2	5,29E-16	#VALUE!
Ig kappa chain C region		9,41E-24	#VALUE!
General transcription factor IIF subunit 2	Gtf2f2	6,45E-07	6,850517938
40S ribosomal protein S26	Rps26	2,16E-34	6,446997388
BRI3-binding protein	Bri3bp	6,30E-21	6,281975563
40S ribosomal protein S30	Fau	5,13E-15	5,948129567
MAP7 domain-containing protein 1	Map7d1	1,09E-06	5,807528056
60S ribosomal protein L37a	Rpl37a	1,01E-15	5,790579076
Protein ECT2	Ect2	9,94E-08	5,631001508
Ribosomal RNA processing protein 1 homolog A	Rrp1	5,62E-10	5,617410209
Activating signal cointegrator 1 complex subunit 2	Ascc2	2,01E-06	5,60781009
Pre-mRNA-splicing factor SPF27	Bcas2	1,53E-07	5,571887632
Keratin, type II cytoskeletal 2 oral	Krt76	1,87E-29	5,47399531
DNA polymerase beta	Polb	1,41E-09	5,466831391
Lon protease homolog, mitochondrial	Lonp1	5,67E-06	5,432220936
	1810009A15Rik	1,40E-07	5,414206746
Rac GTPase-activating protein 1	Racgap1	3,62E-08	5,359815926
Pentatricopeptide repeat domain-containing protein 3, mitochondrial	Ptcd3	6,20E-11	5,350897795
"Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N"	"Snrpb;Snrpn"	3,07E-06	5,338294174
	3110039M20Rik	5,23E-68	5,258756527
Replication factor C subunit 3	Rfc3	2,35E-18	5,220385586
28S ribosomal protein S2, mitochondrial	Mrps2	1,36E-25	5,184634433
Activating signal cointegrator 1 complex subunit 1	Ascc1	2,60E-10	5,126530098
Serine/threonine-protein kinase RIO1	Riok1	1,01E-06	5,101895378
U2 snRNP-associated SURP motif-containing protein	U2surp	1,81E-06	5,075045775
Protein diaphanous homolog 3	"Diaph3;Diap3"	2,31E-15	4,98288195
pre-rRNA processing protein FTSJ3	Ftsj3	3,44E-20	4,967272832
Partitioning defective 3 homolog	Pard3	1,57E-08	4,929368869
Protein FAM98B	Fam98b	4,31E-14	4,918987675
Enkurin domain-containing protein 1	Enkd1	8,14E-06	4,88172002
STIP1 homology and U box-containing protein 1	Stub1	4,59E-10	4,880487111
28S ribosomal protein S35, mitochondrial	Mrps35	1,65E-07	4,730133803
Carnitine O-palmitoyltransferase 1, liver isoform	Cpt1a	5,18E-07	4,719908375
E3 ubiquitin/ISG15 ligase TRIM25	Trim25	1,83E-06	4,714822711
tRNA (uracil-5-)-methyltransferase homolog A	Trmt2a	2,96E-07	4,654789864
Paraspeckle component 1	Pspc1	4,18E-26	4,631359027
Phosphofurin acidic cluster sorting protein 1	Pacs1	3,04E-08	4,628715485
Mitochondrial carrier homolog 1	Mtch1	4,94E-08	4,56528051
General transcription factor 3C polypeptide 1	Gtf3c1	1,16E-06	4,539855079
Hepatoma-derived growth factor-related protein 2	Hdgfrp2	6,83E-06	4,52998903
Heterogeneous nuclear ribonucleoprotein L-like	Hnrpll	2,54E-08	4,528523249
Intron-binding protein aquarius	Aqr	4,06E-06	4,50864969
	Ythdc1	1,33E-05	4,503110249
DNA polymerase delta subunit 3	Pold3	2,51E-15	4,476787344
MKI67 FHA domain-interacting nucleolar phosphoprotein	Mki67ip	1,06E-06	4,422164676
UDP-glucuronic acid decarboxylase 1	Uxs1	1,75E-25	4,418951546
Translation initiation factor eIF-2B subunit delta	Eif2b4	2,12E-07	4,376769899
Eukaryotic translation initiation factor 3 subunit K	Eif3k	4,73E-12	4,310375207
Transformer-2 protein homolog alpha	Tra2a	1,30E-08	4,285769431
"NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment"	Sirt1	2,15E-35	4,259530031
E3 ubiquitin-protein ligase DZIP3	Dzip3	3,04E-06	4,249479245
PIH1 domain-containing protein 1	Pih1d1	1,66E-15	4,235823724
ATP-dependent RNA helicase DDX50	Ddx50	8,29E-08	4,22793531
Spermatogenesis-associated serine-rich protein 2	Spats2	6,26E-17	4,212955427
Fragile X mental retardation protein 1 homolog	Fmr1	1,69E-10	4,152233943
Ribonuclease P protein subunit p38	Rpp38	2,38E-10	4,139540893
Serine--tRNA ligase, cytoplasmic	Sars	8,79E-08	4,135681109
Alpha-taxilin	Txlna	6,88E-22	4,125472126
E3 ubiquitin-protein ligase RING2	Rnf2	2,35E-10	4,121473962
	Pop1	1,45E-11	4,099247163
Transformer-2 protein homolog beta	Tra2b	4,69E-09	4,079990312
Ribosomal RNA processing protein 1 homolog B	Rrp1b	3,21E-08	4,074948516
Alpha-1,3/1,6-mannosyltransferase ALG2	Alg2	2,43E-06	4,036348324
Retinol dehydrogenase 13	Rdh13	2,86E-11	4,018515555
Eukaryotic translation initiation factor 3 subunit M	Eif3m	6,20E-10	3,995436766
CGG triplet repeat-binding protein 1	Cggbp1	4,77E-07	3,974716009
Heterochromatin protein 1-binding protein 3	Hp1bp3	4,67E-07	3,953595553
Creatine kinase B-type	Ckb	2,71E-06	3,90727296
Testis-expressed sequence 10 protein	Tex10	1,89E-12	3,895738496
Zinc finger CCCH domain-containing protein 11A	Zc3h11a	7,26E-07	3,889332079
Cleavage and polyadenylation specificity factor subunit 7	Cpsf7	2,82E-32	3,886576866
Calmodulin-regulated spectrin-associated protein 3	Camsap3	4,23E-08	3,886256834
Translocation protein SEC63 homolog	Sec63	1,13E-05	3,850855118
Scaffold attachment factor B1	Safb	1,70E-10	3,849190798
Serine/threonine-protein phosphatase PGAM5, mitochondrial	Pgam5	4,12E-08	3,846967767
"Mitochondrial glutamate carrier 1;Mitochondrial glutamate carrier 2"	"Slc25a22;Slc25a18"	4,60E-06	3,846469613
DnaJ homolog subfamily C member 11	Dnajc11	3,30E-09	3,832035831
Kinesin-like protein KIF22	Kif22	2,00E-05	3,819841952
Mitochondrial import inner membrane translocase subunit Tim23	Timm23	1,50E-18	3,816951839
Exosome complex component RRP4	Exosc2	1,83E-06	3,807891704
Nuclease EXOG, mitochondrial	Exog	1,89E-06	3,805812064
Transcription elongation factor B polypeptide 3	Tceb3	9,68E-09	3,78482092
Centrosomal protein of 55 kDa	Cep55	7,28E-06	3,718312431
NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	Ndufs3	1,36E-08	3,717059713
LETM1 and EF-hand domain-containing protein 1, mitochondrial	Letm1	2,96E-07	3,671678219
Poly(A)-specific ribonuclease PARN	Parn	5,30E-08	3,658064335
cAMP-dependent protein kinase catalytic subunit beta	Prkacb	2,15E-07	3,638492135
cAMP-dependent protein kinase catalytic subunit alpha	Prkaca	1,59E-08	3,631448421
Liprin-beta-2	Ppfibp2	3,14E-06	3,626237101
"Cyclin-dependent kinase 12;Cyclin-dependent kinase 13"	"Cdk12;Cdk13"	2,85E-06	3,607177036
Prohibitin	Phb	3,67E-13	3,586752553
Kinesin-like protein KIF20B	Kif20b	9,04E-06	3,571870476
Protein transport protein Sec61 subunit beta	"Sec61b;Gm10320"	3,30E-13	3,553917433
Girdin	Ccdc88a	7,44E-07	3,546599369
	Urb2	5,35E-11	3,545840956
Serine/threonine-protein kinase WNK1	Wnk1	4,48E-07	3,527158747
E3 UFM1-protein ligase 1	Ufl1	3,08E-10	3,512612441
A-kinase anchor protein 1, mitochondrial	Akap1	1,48E-05	3,510325543
Up-regulated during skeletal muscle growth protein 5	Usmg5	3,01E-12	3,474604603
Separin	Espl1	1,42E-05	3,466368879
Coiled-coil domain-containing protein 137	Ccdc137	1,08E-06	3,454031631
Coatomer subunit delta	Arcn1	5,38E-07	3,43533893
SUN domain-containing protein 2	Sun2	9,64E-08	3,407486033
Ubiquitin-conjugating enzyme E2 L3	Ube2l3	3,87E-07	3,401650041
"H-2 class I histocompatibility antigen, D-D alpha chain;H-2 class I histocompatibility antigen, alpha chain"	H2-D1	8,09E-09	3,385819752
Pleckstrin homology domain-containing family A member 7	Plekha7	9,75E-07	3,350367987
Focadhesin	Focad	4,42E-07	3,304291192
Proteasome activator complex subunit 4	Psme4	2,43E-07	3,285741292
Calmodulin-regulated spectrin-associated protein 1	Camsap1	1,91E-06	3,238544507
Eukaryotic translation initiation factor 4E	Eif4e	2,57E-12	3,235823724
AP-3 complex subunit beta-2	Ap3b2	1,03E-05	3,215713799
High mobility group protein B1	Hmgb1	4,59E-06	3,180102965
Acylglycerol kinase, mitochondrial	Agk	6,81E-08	3,177620628
	4930550L24Rik	1,69E-10	3,164108255
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Smarcad1	6,71E-06	3,161911487
Translocation protein SEC62	Sec62	2,59E-10	3,149824666
"Ribose-phosphate pyrophosphokinase 1;Ribose-phosphate pyrophosphokinase;Ribose-phosphate pyrophosphokinase 2"	"Prps1;Prps1l3;Prps2"	1,49E-14	3,149440579
DNA replication licensing factor MCM4	Mcm4	3,51E-08	3,122931129
Sorting and assembly machinery component 50 homolog	Samm50	1,98E-06	3,099741788
Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	Mcat	5,01E-34	3,096653165
Terminal uridylyltransferase 7	Zcchc6	5,58E-07	3,08020992
Cyclin-dependent kinase 1	Cdk1	2,23E-08	3,065038209
"DNA primase small subunit;DNA primase"	Prim1	6,76E-08	3,038124824
Nicalin	Ncln	8,87E-09	3,035756644
Ankyrin-3	Ank3	1,46E-05	3,013450718
Smoothelin	Smtn	1,39E-05	3,004392473
"Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 19"	Usp19	1,31E-06	2,985758984
Calmodulin	Calm1	1,21E-10	2,984616618
Constitutive coactivator of PPAR-gamma-like protein 1	FAM120A	8,16E-08	2,907900836
Proteasome subunit alpha type-3	Psma3	2,83E-09	2,896791096
E3 ubiquitin-protein ligase HERC2	Herc2	5,74E-05	2,864911732
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	Coq5	4,26E-07	2,826335255
LIM domain and actin-binding protein 1	Lima1	6,22E-09	2,799570979
CDGSH iron-sulfur domain-containing protein 1	Cisd1	2,14E-11	2,786770939
Elongation factor 1-beta	Eef1b	1,38E-21	2,718236478
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	Ndufb10	6,03E-07	2,716338944
Nitric oxide-associated protein 1	Noa1	1,57E-07	2,6845497
Pumilio homolog 2	Pum2	1,62E-07	2,677148876
Tropomodulin-3	Tmod3	1,68E-05	2,656535324
mRNA export factor	Rae1	4,89E-08	2,598151125
"Signal recognition particle 14 kDa protein;Signal recognition particle 14 kDa protein, N-terminally processed"	Srp14	1,96E-08	2,572522549
"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform"	"Ppp2ca;Ppp2cb"	7,17E-21	2,545487166
"Ras-related protein Rab-1B;Ras-related protein Rab-1A"	"Rab1;Rab1b;Rab1A"	1,16E-07	2,541954034
Protein phosphatase 1G	Ppm1g	1,98E-08	2,483016655
Protein FAM192A	Fam192a	9,81E-15	2,445440616
26S proteasome non-ATPase regulatory subunit 6	Psmd6	2,91E-08	2,422056426
Proteasome subunit beta type-6	Psmb6	4,90E-07	2,394334999
Sideroflexin-3	Sfxn3	3,77E-07	2,381347862
Protein FAM195B	Fam195b	3,74E-08	2,369892791
Prefoldin subunit 2	Pfdn2	1,53E-12	2,343512782
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2	3,86E-08	2,341537139
E3 ubiquitin-protein ligase TRIM33	Trim33	5,77E-16	2,327782874
